Termin;Wochentag;Verband;Saison;Meisterschaft;Altersklasse;Liga;Staffel;Runde;BegegnungNr;HalleNr;HalleName;HalleStrasse;HallePLZ;HalleOrt;HeimVereinVerband;HeimVereinNr;HeimVereinName;HeimMannschaftAltersklasse;HeimMannschaftNr;GastVereinVerband;GastVereinNr;GastVereinName;GastMannschaftAltersklasse;GastMannschaftNr;SpieleHeim;SpieleGast
20.09.2014 11:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Jungen U18;Jungen Bezirksklasse;Bezirksklasse Jungen;VR;1;1;Sporthalle;Beim Wasserturm/Sportanlagen;75391;Gechingen;TTVWH;12015;SF Gechingen;Jungen U18;1;TTVWH;12035;SF Salzstetten;Jungen U18;1;6;0
20.09.2014 13:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Jungen U18;Jungen Kreisliga;Kreisliga Nord Jungen;VR;2;;;;;;TTVWH;12015;SF Gechingen;Jungen U18;2;TTVWH;12009;SF Emmingen e.V.;Jungen U18;2;2;6
20.09.2014 16:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Damen;Damen Bezirksklasse;Damen Bezirksklasse;VR;1;;;;;;TTVWH;12015;SF Gechingen;Damen;1;TTVWH;12045;VfB Cresbach-Waldachtal;Damen;1;8;0
20.09.2014 16:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Herren;Herren Kreisklasse B;Kreisklasse B Calw Herren;VR;2;1;Sporthalle;Beim Wasserturm/Sportanlagen;75391;Gechingen;TTVWH;12015;SF Gechingen;Herren;2;TTVWH;12018;SV Gültlingen;Herren;2;4;9
20.09.2014 19:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Herren;Herren Bezirksklasse;Bezirksklasse Herren;VR;4;1;Sporthalle;Beim Wasserturm/Sportanlagen;75391;Gechingen;TTVWH;12015;SF Gechingen;Herren;1;TTVWH;12035;SF Salzstetten;Herren;1;5;9
20.09.2014 19:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Herren;Herren Kreisklasse C;Kreisklasse C Calw Herren;VR;2;1;Sporthalle;Beim Wasserturm/Sportanlagen;75391;Gechingen;TTVWH;12015;SF Gechingen;Herren;3;TTVWH;12032;TV Neuenbürg;Herren;2;2;9
27.09.2014 13:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Jungen U18;Jungen Kreisliga;Kreisliga Nord Jungen;VR;4;;;;;;TTVWH;12006;TTC Birkenfeld;Jungen U18;1;TTVWH;12015;SF Gechingen;Jungen U18;2;6;1
27.09.2014 14:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Jungen U18;Jungen Bezirksklasse;Bezirksklasse Jungen;VR;3;1;Stadionhalle;Bei Panoramabad;72250;Freudenstadt;TTVWH;12017;CVJM Grüntal;Jungen U18;2;TTVWH;12015;SF Gechingen;Jungen U18;1;6;0
04.10.2014 15:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Herren;Herren Kreisklasse B;Kreisklasse B Calw Herren;VR;8;1;Turnhalle Friedrich-Silcher-Schule;Silcherstr. 1;75217;Birkenfeld;TTVWH;12006;TTC Birkenfeld;Herren;5;TTVWH;12015;SF Gechingen;Herren;2;4;9
05.10.2014 20:00;So.;TTVWH;Pokal 2014/15;Bezirk Schwarzwald Pokal 2014/15 Pokal;Herren;Herren Kreispokal B;Kreispokal Herren B Calw;Pokal;3;;;;;;TTVWH;12015;SF Gechingen;Herren;2;nu;0;spielfrei;Herren;1;0;0
05.10.2014 20:00;So.;TTVWH;Pokal 2014/15;Bezirk Schwarzwald Pokal 2014/15 Pokal;Herren;Herren Kreispokal B;Kreispokal Herren B Calw;Pokal;12;;;;;;TTVWH;12018;SV Gültlingen;Herren;3;TTVWH;12015;SF Gechingen;Herren;3;4;1
11.10.2014 18:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Herren;Herren Bezirksklasse;Bezirksklasse Herren;VR;13;1;Sporthalle Klosterreichenbach;Am Wiesenrain;72270;Baiersbronn;TTVWH;12028;TT Klosterreichenbach;Herren;1;TTVWH;12015;SF Gechingen;Herren;1;9;5
11.10.2014 18:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Herren;Herren Kreisklasse C;Kreisklasse C Calw Herren;VR;15;1;Sporthalle;Bühlstr.;75387;Neubulach;TTVWH;12033;TV Oberhaugstett;Herren;4;TTVWH;12015;SF Gechingen;Herren;3;0;9
18.10.2014 10:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Jungen U18;Jungen Kreisliga;Kreisliga Nord Jungen;VR;7;;;;;;TTVWH;12031;VfL Nagold;Jungen U18;1;TTVWH;12015;SF Gechingen;Jungen U18;2;6;2
18.10.2014 15:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Jungen U18;Jungen Bezirksklasse;Bezirksklasse Jungen;VR;8;1;Weissenbachhalle;Im Oberrain 7;72270;Baiersbronn-Mitteltal;TTVWH;12026;SV Mitteltal-Obertal;Jungen U18;1;TTVWH;12015;SF Gechingen;Jungen U18;1;6;0
18.10.2014 15:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Damen;Damen Bezirksklasse;Damen Bezirksklasse;VR;8;2;Sixthalle Gräfenhausen;Schulstraße 37;75217;Birkenfeld;TTVWH;12006;TTC Birkenfeld;Damen;1;TTVWH;12015;SF Gechingen;Damen;1;2;8
18.10.2014 17:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Herren;Herren Kreisklasse B;Kreisklasse B Calw Herren;VR;16;1;Mehrzweckhalle;Hengstetter Straße;75382;Althengstett-Ottenbronn;TTVWH;12034;TTC Ottenbronn;Herren;4;TTVWH;12015;SF Gechingen;Herren;2;9;4
18.10.2014 18:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Herren;Herren Kreisklasse C;Kreisklasse C Calw Herren;VR;18;1;Turnhalle;Alte Kuranlage 16;75365;Calw-Hirsau;TTVWH;12020;TSV Hirsau;Herren;2;TTVWH;12015;SF Gechingen;Herren;3;9;7
18.10.2014 19:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Herren;Herren Bezirksklasse;Bezirksklasse Herren;VR;19;1;Sporthalle Althengstett;Jahnstrasse;75382;Althengstett;TTVWH;12003;TTF Althengstett;Herren;1;TTVWH;12015;SF Gechingen;Herren;1;9;5
25.10.2014 15:00;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Herren;Herren Kreisklasse B;Kreisklasse B Calw Herren;VR;20;1;Sporthalle;Beim Wasserturm/Sportanlagen;75391;Gechingen;TTVWH;12015;SF Gechingen;Herren;2;TTVWH;12009;SF Emmingen e.V.;Herren;1;9;6
25.10.2014 18:10;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Herren;Herren Kreisklasse C;Kreisklasse C Calw Herren;VR;22;1;Sporthalle;Beim Wasserturm/Sportanlagen;75391;Gechingen;TTVWH;12015;SF Gechingen;Herren;3;TTVWH;12009;SF Emmingen e.V.;Herren;2;4;9
25.10.2014 19:30;Sa.;TTVWH;2014/15;Bezirk Schwarzwald 2014/15;Herren;Herren Bezirksklasse;Bezirksklasse Herren;VR;23;1;Alte Turnhalle;Mörikestr.;75323;Bad Wildbad-Calmbach;TTVWH;12007;TV Calmbach;Herren;2;TTVWH;12015;SF Gechingen;Herren;1;9;4
